# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en
126000 0.402572 0.214591 535.134
126500 0.399669 0.215722 542.291
127000 0.398691 0.21384 547.157
127500 0.399473 0.21262 533.842
128000 0.405127 0.212874 529.301
128500 0.396344 0.211243 536.914
129000 0.401021 0.21201 546.868
129500 0.404836 0.210427 532.992
130000 0.400802 0.209158 526.333
130500 0.398462 0.206828 523.711
131000 0.399525 0.207315 512.839
131500 0.396532 0.205728 510.682
132000 0.399655 0.207971 515.686
132500 0.399114 0.205733 521.483
133000 0.404937 0.206496 519.147
133500 0.397575 0.204551 516.606
134000 0.405148 0.203389 507.555
134500 0.399644 0.203663 515.766
135000 0.39726 0.201323 501.59
135500 0.398019 0.199909 510.315
136000 0.404153 0.200992 507.527
136500 0.39123 0.198601 507.352
137000 0.399734 0.198277 503.225
137500 0.39571 0.198626 504.933
138000 0.406778 0.198359 506.455
138500 0.393833 0.197996 509.867
139000 0.401826 0.194873 481.285
139500 0.39371 0.194829 499.971
140000 0.3962 0.193159 483.524
140500 0.40841 0.192636 483.029
141000 0.399896 0.193479 483.485
141500 0.400221 0.191995 484.291
142000 0.402027 0.191476 479.398
142500 0.404652 0.189775 481.134
143000 0.394782 0.189653 482.962
143500 0.407409 0.191892 492.139
144000 0.400288 0.189167 485.675
144500 0.400612 0.190225 488.125
145000 0.392961 0.186736 472.653
145500 0.401101 0.18781 477.014
146000 0.395428 0.187431 488.842
146500 0.400009 0.18771 486.235
147000 0.401725 0.183935 464.469
147500 0.396139 0.184852 467.945
148000 0.399489 0.18472 470.02
148500 0.399168 0.18487 472.384
149000 0.403398 0.184327 471.705
149500 0.404654 0.182182 460.418
150000 0.400852 0.183188 464.513
150500 0.399859 0.181666 466.797
151000 0.407567 0.18031 460.417
151500 0.40469 0.180128 455.734
152000 0.400979 0.178792 455.346
152500 0.395481 0.179208 461.98
153000 0.4056 0.177654 452.073
153500 0.396459 0.176323 449.483
154000 0.405096 0.17715 445.628
154500 0.400822 0.176321 445.681
155000 0.406321 0.176766 447.168
155500 0.398982 0.174687 457.791
156000 0.399402 0.175576 456.99
156500 0.391756 0.173733 440.934
157000 0.400902 0.172923 439.614
157500 0.403293 0.172706 439.172
158000 0.402989 0.173889 450.615
158500 0.400046 0.172764 450.447
159000 0.39628 0.172292 456.733
159500 0.400146 0.171233 448.344
160000 0.40011 0.170028 446.084
160500 0.405185 0.169831 436.694
161000 0.405821 0.170043 439.069
161500 0.392867 0.166712 422.842
162000 0.397969 0.167632 428.535
162500 0.406111 0.167284 425.203
163000 0.406001 0.166423 423.445
163500 0.403753 0.167268 434.05
164000 0.405027 0.16752 428.731
164500 0.397707 0.166129 433.832
165000 0.398136 0.164647 436.749
165500 0.40068 0.16458 423.713
166000 0.396612 0.164388 430.377
166500 0.403056 0.163693 427.579
167000 0.399681 0.162492 419.163
167500 0.40069 0.161412 417.7
168000 0.399824 0.162391 425.987
168500 0.392518 0.160948 415.78
169000 0.401822 0.161651 419.042
169500 0.392629 0.160541 424.011
170000 0.396527 0.158853 415.496
170500 0.40569 0.160297 420.452
171000 0.404415 0.160901 424.879
171500 0.394106 0.158747 411.698
172000 0.397845 0.157225 408.962
172500 0.403586 0.157937 418.552
173000 0.400889 0.15686 409.623
173500 0.403315 0.156874 414.114
174000 0.400026 0.157695 419.203
174500 0.404214 0.156535 417.105
175000 0.397342 0.155088 412.178
175500 0.402848 0.153045 393.921
176000 0.401792 0.154116 402.807
176500 0.394348 0.152791 395.469
177000 0.395378 0.153423 406.134
177500 0.404081 0.153536 399.887
178000 0.394185 0.150094 391.268
178500 0.399117 0.153085 412.623
179000 0.401697 0.151854 400.424
179500 0.400928 0.150895 397.189
180000 0.39491 0.149297 393.903
180500 0.399836 0.150419 397.076
181000 0.400664 0.149166 393.722
181500 0.392154 0.148 390.997
182000 0.39876 0.149688 395.242
182500 0.392205 0.148107 391.842
183000 0.403793 0.147036 381.981
183500 0.39836 0.148522 396.014
184000 0.393621 0.145356 381.213
184500 0.398721 0.145709 387.471
185000 0.400518 0.146989 387.624
185500 0.40912 0.145522 378.997
